127.0.0.1 - - [25/Dec/2016:14:20:07 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:20:14 +0100] "GET /NameOfYourApplication/ HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:20:14 +0100] "GET /NameOfYourApplication/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:20:14 +0100] "GET /NameOfYourApplication/css/.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:20:14 +0100] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:20:14 +0100] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:20:23 +0100] "GET /NameOfYourApplication/index.jsp HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:20:23 +0100] "GET /NameOfYourApplication/css/.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:21:49 +0100] "GET /NameOfYourApplication/index.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:21:49 +0100] "GET /NameOfYourApplication/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:21:49 +0100] "GET /NameOfYourApplication/css/yellow.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:21:49 +0100] "GET /NameOfYourApplication/images/bannerYellow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:21:53 +0100] "POST /NameOfYourApplication/Controller?action=switchColor HTTP/1.1" 500 1933
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:40:17 +0100] "GET /NameOfYourApplication/index.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:40:17 +0100] "GET /NameOfYourApplication/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:40:17 +0100] "GET /NameOfYourApplication/css/yellow.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:40:17 +0100] "GET /NameOfYourApplication/images/bannerYellow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:40:21 +0100] "POST /NameOfYourApplication/Controller?action=switchColor HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:40:22 +0100] "POST /NameOfYourApplication/Controller?action=switchColor HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:40:23 +0100] "POST /NameOfYourApplication/Controller?action=switchColor HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:40:24 +0100] "POST /NameOfYourApplication/Controller?action=switchColor HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:48:34 +0100] "GET /NameOfYourApplication/Controller?action=overview HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:48:35 +0100] "GET /NameOfYourApplication/Controller?action=ProductOverview HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:48:36 +0100] "GET /NameOfYourApplication/Controller?action=addProduct HTTP/1.1" 200 2102
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:48:37 +0100] "GET /NameOfYourApplication/Controller?action=signUp HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:50:07 +0100] "GET /NameOfYourApplication/Controller?action=overview HTTP/1.1" 200 2073
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:50:09 +0100] "GET /NameOfYourApplication/Controller?action=ProductOverview HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:50:10 +0100] "POST /NameOfYourApplication/Controller?action=switchColor HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:50:12 +0100] "POST /NameOfYourApplication/Controller?action=switchColor HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:50:14 +0100] "GET /NameOfYourApplication/Controller?action=overview HTTP/1.1" 200 2073
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:50:15 +0100] "POST /NameOfYourApplication/Controller?action=switchColor HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:50:17 +0100] "GET /NameOfYourApplication/Controller?action=overview HTTP/1.1" 200 2073
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:50:17 +0100] "GET /NameOfYourApplication/Controller?action=ProductOverview HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:50:19 +0100] "GET /NameOfYourApplication/Controller?action=addProduct HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:50:21 +0100] "GET /NameOfYourApplication/Controller?action=addProduct HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:50:22 +0100] "GET /NameOfYourApplication/Controller?action=signUp HTTP/1.1" 200 2192
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:50:24 +0100] "GET /NameOfYourApplication/index.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:55:15 +0100] "GET /NameOfYourApplication/Controller?action=ProductOverview HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:55:17 +0100] "GET /NameOfYourApplication/Controller?action=updateProduct&id=product%201 HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:55:20 +0100] "POST /NameOfYourApplication/Controller?action=switchColor HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [25/Dec/2016:14:55:22 +0100] "POST /NameOfYourApplication/Controller?action=switchColor HTTP/1.1" 200 1805
